2026-06-15T13:28:32.583301,db4/temperature,None
2026-06-15T13:28:32.587023,db4/od,1
2026-06-15T13:28:32.588730,db4/pump/state,off
2026-06-15T13:28:34.901471,db4/temperature,None
2026-06-15T13:28:34.903249,db4/od,35
2026-06-15T13:28:34.904130,db4/pump/state,off
2026-06-15T13:28:37.389104,db4/temperature,None
2026-06-15T13:28:37.395630,db4/od,459
2026-06-15T13:28:37.397648,db4/pump/state,off
2026-06-15T13:28:39.849626,db4/temperature,None
2026-06-15T13:28:39.858440,db4/od,1
2026-06-15T13:28:39.859959,db4/pump/state,off
2026-06-15T13:28:42.306398,db4/temperature,None
2026-06-15T13:28:42.312622,db4/od,1
2026-06-15T13:28:42.315776,db4/pump/state,off
2026-06-15T13:28:44.660414,db4/temperature,None
2026-06-15T13:28:44.660414,db4/od,1
2026-06-15T13:28:44.662666,db4/pump/state,off
2026-06-15T13:28:47.014544,db4/temperature,None
2026-06-15T13:28:47.014544,db4/od,329
2026-06-15T13:28:47.016583,db4/pump/state,off
2026-06-15T13:28:49.469188,db4/temperature,None
2026-06-15T13:28:49.476992,db4/od,459
2026-06-15T13:28:49.479025,db4/pump/state,off
2026-06-15T13:28:51.828320,db4/temperature,None
2026-06-15T13:28:51.830973,db4/od,1
2026-06-15T13:28:51.832987,db4/pump/state,off
2026-06-15T13:28:54.279566,db4/temperature,None
2026-06-15T13:28:54.290094,db4/od,0
2026-06-15T13:28:54.290094,db4/pump/state,off
2026-06-15T13:28:56.745499,db4/temperature,None
2026-06-15T13:28:56.745499,db4/od,0
2026-06-15T13:28:56.745499,db4/pump/state,off
2026-06-15T13:28:59.047290,db4/temperature,None
2026-06-15T13:28:59.051383,db4/od,459
2026-06-15T13:28:59.057152,db4/pump/state,off
2026-06-15T13:29:01.557422,db4/temperature,None
2026-06-15T13:29:01.565401,db4/od,0
2026-06-15T13:29:01.568047,db4/pump/state,off
2026-06-15T13:29:04.011780,db4/temperature,None
2026-06-15T13:29:04.016060,db4/od,0
2026-06-15T13:29:04.018861,db4/pump/state,off
2026-06-15T13:29:06.371649,db4/temperature,None
2026-06-15T13:29:06.372682,db4/od,0
2026-06-15T13:29:06.376361,db4/pump/state,off
2026-06-15T13:29:08.831491,db4/temperature,None
2026-06-15T13:29:08.854026,db4/od,0
2026-06-15T13:29:08.857422,db4/pump/state,off
2026-06-15T13:29:11.180914,db4/temperature,None
2026-06-15T13:29:11.187553,db4/od,459
2026-06-15T13:29:11.188951,db4/pump/state,off
2026-06-15T13:29:13.730492,db4/temperature,None
2026-06-15T13:29:13.736063,db4/od,1
2026-06-15T13:29:13.738735,db4/pump/state,off
2026-06-15T13:29:16.310604,db4/temperature,None
2026-06-15T13:29:16.312152,db4/od,1
